ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX Acidic pKa,CX Basic pKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Np Likeness Score,Molecular Species,Molecular Formula,Smiles,Inchi Key,Inchi,Withdrawn Flag,Orphan,Records Key,Records Name,Unnamed: 38
CHEMBL4435700,,,Unknown,,424.57,7,7,4.07,78.09,5,2,0,7,N,0.6,9.54,10.26,2.83,0.94,3,MOL,-1,30,6,2,0,424.1933,-1.7,BASE,C23H28N4O2S,CCN(Cc1ccc(CNC(=O)c2csc3nc[nH]c(=O)c23)cc1)C1CCCCC1,VDWQEXVBMIBDPI-UHFFFAOYSA-N,"InChI=1S/C23H28N4O2S/c1-2-27(18-6-4-3-5-7-18)13-17-10-8-16(9-11-17)12-24-21(28)19-14-30-23-20(19)22(29)25-15-26-23/h8-11,14-15,18H,2-7,12-13H2,1H3,(H,24,28)(H,25,26,29)",False,-1,['12'],"['N-(4-((Cyclohexyl(ethyl)amino)methyl)benzyl)-4-oxo-3,4-dihydrothieno[2,3-d]pyrimidine-5-carboxamide']",
CHEMBL4469887,,,Unknown,,370.48,7,7,2.8,86.88,5,3,0,8,N,0.53,9.94,9.33,1.83,0.21,3,MOL,-1,26,6,3,0,370.1463,-1.36,BASE,C19H22N4O2S,CCCCNCc1ccc(CNC(=O)c2csc3nc[nH]c(=O)c23)cc1,VHCABTAXAXOQFY-UHFFFAOYSA-N,"InChI=1S/C19H22N4O2S/c1-2-3-8-20-9-13-4-6-14(7-5-13)10-21-17(24)15-11-26-19-16(15)18(25)22-12-23-19/h4-7,11-12,20H,2-3,8-10H2,1H3,(H,21,24)(H,22,23,25)",False,-1,['21'],"['N-(4-((Butylamino)methyl)benzyl)-4-oxo-3,4-dihydrothieno[2,3-d]pyrimidine-5-carboxamide']",
CHEMBL4584637,,,Unknown,,396.52,7,7,3.34,86.88,5,3,0,6,N,0.6,9.42,10.03,2.25,0.53,3,MOL,-1,28,6,3,0,396.162,-1.22,BASE,C21H24N4O2S,O=C(NCc1ccc(CNC2CCCCC2)cc1)c1csc2nc[nH]c(=O)c12,JMPWESYLZQOOPK-UHFFFAOYSA-N,"InChI=1S/C21H24N4O2S/c26-19(17-12-28-21-18(17)20(27)24-13-25-21)23-11-15-8-6-14(7-9-15)10-22-16-4-2-1-3-5-16/h6-9,12-13,16,22H,1-5,10-11H2,(H,23,26)(H,24,25,27)",False,-1,['16'],"['N-(4-((Cyclohexylamino)methyl)benzyl)-4-oxo-3,4-dihydrothieno[2,3-d]pyrimidine-5-carboxamide']",
CHEMBL4585250,,,Unknown,,384.46,7,7,1.75,87.32,6,2,0,5,N,0.7,9.67,6.94,1.19,1.06,3,MOL,-1,27,7,2,0,384.1256,-1.85,NEUTRAL,C19H20N4O3S,O=C(NCc1ccc(CN2CCOCC2)cc1)c1csc2nc[nH]c(=O)c12,KIPHUBKEJMESQU-UHFFFAOYSA-N,"InChI=1S/C19H20N4O3S/c24-17(15-11-27-19-16(15)18(25)21-12-22-19)20-9-13-1-3-14(4-2-13)10-23-5-7-26-8-6-23/h1-4,11-12H,5-10H2,(H,20,24)(H,21,22,25)",False,-1,['10'],"['N-(4-(Morpholinomethyl)benzyl)-4-oxo-3,4-dihydrothieno[2,3-d]pyrimidine-5-carboxamide']",
CHEMBL4464383,,,Unknown,,382.49,7,7,2.9,78.09,5,2,0,5,N,0.71,9.78,9.04,1.81,0.51,3,MOL,-1,27,6,2,0,382.1463,-1.68,BASE,C20H22N4O2S,O=C(NCc1ccc(CN2CCCCC2)cc1)c1csc2nc[nH]c(=O)c12,HZBXQEGSUSKIMY-UHFFFAOYSA-N,"InChI=1S/C20H22N4O2S/c25-18(16-12-27-20-17(16)19(26)22-13-23-20)21-10-14-4-6-15(7-5-14)11-24-8-2-1-3-9-24/h4-7,12-13H,1-3,8-11H2,(H,21,25)(H,22,23,26)",False,-1,['9'],"['4-Oxo-N-(4-(piperidin-1-ylmethyl)benzyl)-3,4-dihydrothieno[2,3-d]pyrimidine-5-carboxamide']",
CHEMBL4580116,,,Unknown,,404.5,7,7,3.2,86.88,5,3,0,7,N,0.44,9.7,8.48,2.56,1.62,4,MOL,-1,29,6,3,0,404.1307,-1.3,NEUTRAL,C22H20N4O2S,O=C(NCc1ccc(CNCc2ccccc2)cc1)c1csc2nc[nH]c(=O)c12,YWZMXLOFPKXASQ-UHFFFAOYSA-N,"InChI=1S/C22H20N4O2S/c27-20(18-13-29-22-19(18)21(28)25-14-26-22)24-12-17-8-6-16(7-9-17)11-23-10-15-4-2-1-3-5-15/h1-9,13-14,23H,10-12H2,(H,24,27)(H,25,26,28)",False,-1,['14'],"['N-(4-((Benzylamino)methyl)benzyl)-4-oxo-3,4-dihydrothieno-[2,3-d]pyrimidine-5-carboxamide']",
CHEMBL4580624,,,Unknown,,418.52,2,3,3.92,76.14,6,2,0,8,N,0.45,,8.5,3.81,2.68,4,MOL,-1,30,6,2,0,418.1463,-1.44,BASE,C23H22N4O2S,COc1ncnc2scc(C(=O)NCc3ccc(CNCc4ccccc4)cc3)c12,YAZAQLHNEIJYIG-UHFFFAOYSA-N,"InChI=1S/C23H22N4O2S/c1-29-22-20-19(14-30-23(20)27-15-26-22)21(28)25-13-18-9-7-17(8-10-18)12-24-11-16-5-3-2-4-6-16/h2-10,14-15,24H,11-13H2,1H3,(H,25,28)",False,-1,['39'],"['N-(4-((Benzylamino)methyl)benzyl)-4-methoxythieno[2,3-d]-pyrimidine-5-carboxamide']",
CHEMBL4541348,,,Unknown,,432.55,7,7,3.94,78.09,5,2,0,8,N,0.44,9.73,8.77,3.2,2.05,4,MOL,-1,31,6,2,0,432.162,-1.54,BASE,C24H24N4O2S,CCN(Cc1ccccc1)Cc1ccc(CNC(=O)c2csc3nc[nH]c(=O)c23)cc1,RCECOMYNWFQZRT-UHFFFAOYSA-N,"InChI=1S/C24H24N4O2S/c1-2-28(13-18-6-4-3-5-7-18)14-19-10-8-17(9-11-19)12-25-22(29)20-15-31-24-21(20)23(30)26-16-27-24/h3-11,15-16H,2,12-14H2,1H3,(H,25,29)(H,26,27,30)",False,-1,['13'],"['N-(4-((Benzyl(ethyl)amino)methyl)benzyl)-4-oxo-3,4-dihydrothieno[2,3-d]pyrimidine-5-carboxamide']",
CHEMBL4463176,,,Unknown,,384.51,7,7,3.19,86.88,5,3,0,9,N,0.49,9.94,9.33,2.27,0.65,3,MOL,-1,27,6,3,0,384.162,-1.24,BASE,C20H24N4O2S,CCCCCNCc1ccc(CNC(=O)c2csc3nc[nH]c(=O)c23)cc1,NZOYMGWVKRTJGP-UHFFFAOYSA-N,"InChI=1S/C20H24N4O2S/c1-2-3-4-9-21-10-14-5-7-15(8-6-14)11-22-18(25)16-12-27-20-17(16)19(26)23-13-24-20/h5-8,12-13,21H,2-4,9-11H2,1H3,(H,22,25)(H,23,24,26)",False,-1,['22'],"['4-Oxo-N-(4-((pentylamino)methyl)benzyl)-3,4-dihydrothieno-[2,3-d]pyrimidine-5-carboxamide']",
CHEMBL4459537,,,Unknown,,557.72,1,2,7.59,124.9,7,2,2,16,N,0.06,,9.6,7.33,5.05,4,MOL,-1,40,9,2,2,557.2573,-1.12,BASE,C30H35N7O2S,CCCCCCCCNCc1ccc(CNC(=O)c2csc3ncnc(OCc4ccc(N=[N+]=[N-])cc4)c23)cc1,NVBPKQOSJUJGBU-UHFFFAOYSA-N,"InChI=1S/C30H35N7O2S/c1-2-3-4-5-6-7-16-32-17-22-8-10-23(11-9-22)18-33-28(38)26-20-40-30-27(26)29(34-21-35-30)39-19-24-12-14-25(15-13-24)36-37-31/h8-15,20-21,32H,2-7,16-19H2,1H3,(H,33,38)",False,-1,['47'],"['4-((4-Azidobenzyl)oxy)-N-(4-((octylamino)methyl)benzyl)thieno-[2,3-d]pyrimidine-5-carboxamide']",
CHEMBL4533538,,,Unknown,,488.66,1,2,5.87,76.14,6,2,1,13,N,0.23,,8.5,6.02,4.89,4,MOL,-1,35,6,2,1,488.2246,-1.29,BASE,C28H32N4O2S,CCCCCCOc1ncnc2scc(C(=O)NCc3ccc(CNCc4ccccc4)cc3)c12,LFJYHHUWQAPCGO-UHFFFAOYSA-N,"InChI=1S/C28H32N4O2S/c1-2-3-4-8-15-34-27-25-24(19-35-28(25)32-20-31-27)26(33)30-18-23-13-11-22(12-14-23)17-29-16-21-9-6-5-7-10-21/h5-7,9-14,19-20,29H,2-4,8,15-18H2,1H3,(H,30,33)",False,-1,['41'],"['N-(4-((Benzylamino)methyl)benzyl)-4-(hexyloxy)thieno[2,3-d]-pyrimidine-5-carboxamide']",
CHEMBL4474908,,,Unknown,,426.54,2,3,3.24,76.58,7,1,0,8,N,0.6,,6.94,3.13,3.0,3,MOL,-1,30,7,1,0,426.1726,-2.04,NEUTRAL,C22H26N4O3S,CCCOc1ncnc2scc(C(=O)NCc3ccc(CN4CCOCC4)cc3)c12,BYWUVZQQDDKWJL-UHFFFAOYSA-N,"InChI=1S/C22H26N4O3S/c1-2-9-29-21-19-18(14-30-22(19)25-15-24-21)20(27)23-12-16-3-5-17(6-4-16)13-26-7-10-28-11-8-26/h3-6,14-15H,2,7-13H2,1H3,(H,23,27)",False,-1,['46'],"['N-(4-(Morpholinomethyl)benzyl)-4-propoxythieno[2,3-d]-pyrimidine-5-carboxamide']",
